AGE,TOTAL NUMBER of People,CIGEVER,ALCEVER,MJEVER,COCEVER,CRKEVER,HEREVER,HALLUCEVER,INHALEVER,METHAMEVER,PNRANYLIF,STMANYLIF,SEDANYLIF,TRQANYLIF
12,934,0.016,0.073,0.012,0.000,0.000,0.000,0.004,0.073,0.001,0.045,0.002,0.011,0.011
13,1068,0.028,0.101,0.038,0.002,0.000,0.000,0.012,0.089,0.000,0.049,0.004,0.006,0.006
14,1019,0.058,0.171,0.086,0.001,0.000,0.000,0.011,0.123,0.000,0.054,0.010,0.013,0.010
15,934,0.096,0.294,0.172,0.006,0.000,0.000,0.036,0.102,0.002,0.094,0.004,0.016,0.013
16,927,0.120,0.416,0.254,0.008,0.002,0.001,0.044,0.090,0.003,0.087,0.020,0.017,0.017
17,841,0.165,0.483,0.327,0.013,0.000,0.000,0.056,0.087,0.001,0.095,0.013,0.013,0.017
18,906,0.208,0.510,0.321,0.020,0.004,0.004,0.070,0.073,0.008,0.108,0.025,0.012,0.013
19,883,0.319,0.625,0.429,0.042,0.001,0.003,0.113,0.067,0.009,0.125,0.025,0.015,0.022
20,888,0.338,0.671,0.456,0.075,0.006,0.002,0.133,0.091,0.010,0.153,0.039,0.027,0.020
21,975,0.388,0.815,0.527,0.088,0.009,0.005,0.156,0.094,0.024,0.227,0.047,0.028,0.047
22-23,2021,0.449,0.873,0.572,0.131,0.010,0.008,0.210,0.086,0.025,0.246,0.060,0.038,0.060
24-25,2223,0.459,0.872,0.562,0.130,0.012,0.017,0.183,0.097,0.026,0.290,0.092,0.046,0.067
26-29,2447,0.506,0.868,0.560,0.159,0.026,0.031,0.217,0.110,0.050,0.332,0.090,0.051,0.076
30-34,3264,0.554,0.896,0.568,0.170,0.035,0.035,0.215,0.112,0.060,0.377,0.099,0.079,0.107
35-49,7418,0.593,0.886,0.532,0.164,0.048,0.029,0.215,0.137,0.079,0.390,0.077,0.087,0.125
50-64,3111,0.580,0.893,0.538,0.205,0.052,0.020,0.185,0.109,0.074,0.409,0.056,0.094,0.141
65+,2984,0.623,0.865,0.396,0.104,0.017,0.015,0.106,0.050,0.036,0.406,0.046,0.087,0.127
